0,1192,33
1,1188,37
2,1182,43
3,1173,52
4,1166,59
5,1157,68
6,1147,78
7,1138,87
8,1125,100
9,1117,108
10,1112,113
11,1106,119
12,1092,133
13,1087,138
14,1079,146
15,1071,154
16,1064,161
17,1057,168
18,1048,177
19,1039,186
20,1031,194
21,1025,200
22,1019,206
23,1015,210
24,1012,213
25,1005,220
26,1000,225
27,996,229
28,990,235
29,987,238
30,984,241
31,977,248
32,974,251
33,971,254
34,965,260
35,962,263
36,960,265
37,958,267
38,950,275
39,949,276
40,943,282
41,943,282
42,938,287
43,933,292
44,927,298
45,925,300
46,922,303
47,921,304
48,916,309
49,915,310
50,911,314
51,907,318
52,906,319
53,904,321
54,899,326
55,897,328
56,891,334
57,888,337
58,881,344
59,879,346
60,872,353
61,870,355
62,867,358
63,867,358
64,867,358
65,863,362
66,861,364
67,857,368
68,855,370
69,853,372
70,851,374
71,848,377
72,846,379
73,846,379
74,844,381
75,840,385
76,837,388
77,834,391
78,834,391
79,833,392
80,833,392
81,832,393
82,831,394
83,831,394
84,830,395
85,823,402
86,823,402
87,823,402
88,819,406
89,819,406
90,819,406
91,816,409
92,813,412
93,811,414
94,811,414
95,808,417
96,807,418
97,805,420
98,804,421
99,802,423
100,800,425
101,799,426
102,798,427
103,798,427
104,793,432
105,792,433
106,789,436
107,789,436
108,789,436
109,789,436
110,788,437
111,784,441
112,781,444
113,779,446
114,774,451
115,771,454
116,768,457
117,764,461
118,763,462
119,762,463
120,760,465
121,757,468
122,756,469
123,753,472
124,753,472
125,751,474
126,751,474
127,750,475
128,750,475
129,749,476
130,746,479
131,743,482
132,742,483
133,739,486
134,738,487
135,738,487
136,737,488
137,735,490
138,734,491
139,733,492
140,733,492
141,732,493
142,730,495
143,728,497
144,727,498
145,726,499
146,725,500
147,724,501
148,724,501
149,723,502
150,720,505
151,717,508
152,716,509
153,713,512
154,711,514
155,711,514
156,710,515
157,708,517
158,708,517
159,707,518
160,706,519
161,705,520
162,704,521
163,703,522
164,701,524
165,701,524
166,699,526
167,697,528
168,695,530
169,694,531
170,693,532
171,692,533
172,690,535
173,690,535
174,690,535
175,687,538
176,686,539
177,686,539
178,685,540
179,684,541
180,682,543
181,681,544
182,680,545
183,680,545
184,678,547
185,677,548
186,677,548
187,676,549
188,674,551
189,672,553
190,671,554
191,671,554
192,670,555
193,670,555
194,670,555
195,669,556
196,667,558
197,667,558
198,667,558
199,664,561
200,1165,60
201,1145,80
